Name;Riot Co
Initial Number of Operations;15
Initial Number of Data Structures;300
ID;Date;Operations Added;Operations Deleted;Operations Updated;Data Structures Added;Data Structures Deleted;Data Structures Updated
1;13/10/2005;0;0;0;0;0;0
2;3/3/2005;3;0;14;9;0;5
3;27/4/2006;2;0;4;1;0;30
4;14/6/2006;2;0;8;1;0;3
5;30/6/2006;12;0;8;4;0;2
6;7/8/2006;0;0;4;0;0;0
7;20/9/2006;1;0;6;1;0;4
8;20/10/2006;1;0;1;5;0;4
9;1/12/2006;0;0;0;0;0;0
10;20/3/2007;1;0;4;4;0;5
11;30/4/2007;0;0;0;0;0;0
12;20/7/2007;5;0;5;21;0;3
13;4/9/2007;0;0;0;0;0;0
14;13/12/2007;0;0;0;0;0;0
15;3/3/2008;1;0;1;6;0;3
16;17/3/2008;0;0;0;0;0;0
17;9/5/2008;0;2;0;0;5;1
18;4/11/2008;2;14;1;4;2;3
19;1/12/2011;3;2;5;0;5;13
20;29/3/2013;3;0;7;4;0;7
